Ingredient_name	GNSP_ID
progesterone	"CCMSLIB00000005856"
progesterone	"CCMSLIB00000005857"
progesterone	"CCMSLIB00000005858"
progesterone	"CCMSLIB00000005859"
progesterone	"CCMSLIB00000005860"
progesterone	"CCMSLIB00000005861"
progesterone	"CCMSLIB00000005862"
progesterone	"CCMSLIB00000005863"
progesterone	"CCMSLIB00000005864"
progesterone	"CCMSLIB00000005865"
progesterone	"CCMSLIB00000005866"
progesterone	"CCMSLIB00000005867"
progesterone	"CCMSLIB00000005868"
progesterone	"CCMSLIB00000005869"
progesterone	"CCMSLIB00000005870"
progesterone	"CCMSLIB00000078244"
procyanidin b2	"CCMSLIB00000081689"
procyanidin b2	"CCMSLIB00000081690"
procyanidin b2	"CCMSLIB00000081691"
tryptanthrin	"CCMSLIB00000078735"
gallic acid	"CCMSLIB00000078850"
gallic acid	"CCMSLIB00000078886"
epigallocatechin	"CCMSLIB00000081481"
epigallocatechin	"CCMSLIB00000081482"
salicylic acid	"CCMSLIB00000078854"
caffeic acid	"CCMSLIB00000078847"
caffeic acid	"CCMSLIB00000078884"
ellagic acid	"CCMSLIB00000078098"
ellagic acid	"CCMSLIB00000078849"
catechin	"CCMSLIB00000081476"
catechin	"CCMSLIB00000081477"
catechin	"CCMSLIB00000081478"
artemisinin	"CCMSLIB00000078082"
hyperoside	"CCMSLIB00000078930"
glucose	"CCMSLIB00000081789"
estradiol	"CCMSLIB00000005503"
estradiol	"CCMSLIB00000005504"
estradiol	"CCMSLIB00000005505"
vitamin b2	"CCMSLIB00000078508"
pseudoephedrine	"CCMSLIB00000081578"
reynoutrin	"CCMSLIB00000081774"
reynoutrin	"CCMSLIB00000081775"
asparagine	"CCMSLIB00000081785"
erythrinin	"CCMSLIB00000081234"
erythrinin	"CCMSLIB00000081235"
arginine	"CCMSLIB00000081782"
quinic acid	"CCMSLIB00000081718"
quinic acid	"CCMSLIB00000081719"
fluoxetine	"CCMSLIB00000005000"
fluoxetine	"CCMSLIB00000005001"
fluoxetine	"CCMSLIB00000005002"
nifedipine	"CCMSLIB00000078299"
methylprednisolone	"CCMSLIB00000004248"
methylprednisolone	"CCMSLIB00000004249"
methylprednisolone	"CCMSLIB00000004250"
methylprednisolone	"CCMSLIB00000004251"
methylprednisolone	"CCMSLIB00000004252"
methylprednisolone	"CCMSLIB00000004253"
methylprednisolone	"CCMSLIB00000004254"
methylprednisolone	"CCMSLIB00000004255"
methylprednisolone	"CCMSLIB00000004256"
methylprednisolone	"CCMSLIB00000077142"
methylprednisolone	"CCMSLIB00000077143"
methylprednisolone	"CCMSLIB00000078262"
methylprednisolone	"CCMSLIB00000085960"
galgravin	"CCMSLIB00000081291"
galgravin	"CCMSLIB00000081292"
artesunate	"CCMSLIB00000079008"
artemether	"CCMSLIB00000079246"
melatonin	"CCMSLIB00000078045"
melatonin	"CCMSLIB00000081598"
melatonin	"CCMSLIB00000081599"
secoisolariciresinol	"CCMSLIB00000079066"
alternariol	"CCMSLIB00000081752"
velutin	"CCMSLIB00000081730"
vicenin-2	"CCMSLIB00000077238"
mannitol	"CCMSLIB00000081790"
apigetrin	"CCMSLIB00000077224"
apigetrin	"CCMSLIB00000078870"
cholic acid	"CCMSLIB00000076749"
lithocholic acid	"CCMSLIB00000078613"
physostigmine	"CCMSLIB00000079263"
physostigmine	"CCMSLIB00000081265"
physostigmine	"CCMSLIB00000081266"
riboflavin	"CCMSLIB00000005494"
riboflavin	"CCMSLIB00000005495"
riboflavin	"CCMSLIB00000005496"
riboflavin	"CCMSLIB00000005497"
riboflavin	"CCMSLIB00000005498"
riboflavin	"CCMSLIB00000005499"
riboflavin	"CCMSLIB00000005500"
riboflavin	"CCMSLIB00000005501"
riboflavin	"CCMSLIB00000005502"
riboflavin	"CCMSLIB00000072245"
riboflavin	"CCMSLIB00000078508"
ginkgolide	"CCMSLIB00000078395"
proline	"CCMSLIB00000081786"
quercetin	"CCMSLIB00000077171"
quercetin	"CCMSLIB00000077221"
quercetin	"CCMSLIB00000077993"
quercitrin	"CCMSLIB00000078893"
reserpine	"CCMSLIB00000006371"
reserpine	"CCMSLIB00000006372"
reserpine	"CCMSLIB00000006373"
reserpine	"CCMSLIB00000006374"
reserpine	"CCMSLIB00000006375"
reserpine	"CCMSLIB00000006376"
reserpine	"CCMSLIB00000078194"
ribalinine	"CCMSLIB00000078741"
ribose	"CCMSLIB00000081792"
rutin	"CCMSLIB00000077235"
rutin	"CCMSLIB00000078880"
rutin	"CCMSLIB00000079258"
sanguinarine	"CCMSLIB00000078690"
sophocarpine	"CCMSLIB00000078694"
sphingomyelin	"CCMSLIB00000075369"
sucrose	"CCMSLIB00000081787"
swertisin	"CCMSLIB00000077236"
swertisin	"CCMSLIB00000078881"
tanshinone i	"CCMSLIB00000078792"
tanshinone iia	"CCMSLIB00000078792"
taxol	"CCMSLIB00000078431"
taxol	"CCMSLIB00000078026"
taxol	"CCMSLIB00000078027"
testosterone	"CCMSLIB00000077101"
tetrandrine	"CCMSLIB00000085685"
thebaine	"CCMSLIB00000078773"
theophylline	"CCMSLIB00000077071"
tiliroside	"CCMSLIB00000077237"
tiliroside	"CCMSLIB00000078882"
tremulacin	"CCMSLIB00000079091"
"7,3',4'-trihydroxyflavone"	"CCMSLIB00000081708"
"7,3',4'-trihydroxyflavone"	"CCMSLIB00000081709"
"3,5,3'-triiodothyronine"	"CCMSLIB00000076961"
triptolide	"CCMSLIB00000078954"
tropine	"CCMSLIB00000077007"
tropine	"CCMSLIB00000078450"
tropine	"CCMSLIB00000078451"
tryptanthrine	"CCMSLIB00000078735"
valine	"CCMSLIB00000081780"
veraguensin	"CCMSLIB00000081293"
veraguensin	"CCMSLIB00000081294"
veraguensin	"CCMSLIB00000081295"
verbenalin	"CCMSLIB00000078768"
vincristine	"CCMSLIB00000005527"
vincristine	"CCMSLIB00000005528"
vincristine	"CCMSLIB00000005529"
vincristine	"CCMSLIB00000005530"
vincristine	"CCMSLIB00000005531"
vincristine	"CCMSLIB00000005532"
vincristine	"CCMSLIB00000005533"
vincristine	"CCMSLIB00000005534"
vincristine	"CCMSLIB00000005535"
vincristine	"CCMSLIB00000078061"
vincristine	"CCMSLIB00000078062"
vincristine	"CCMSLIB00000078063"
vincristine	"CCMSLIB00000078066"
vitamin b12	"CCMSLIB00000078336"
vitexin	"CCMSLIB00000081772"
vitexin	"CCMSLIB00000081773"
yohimbine	"CCMSLIB00000085181"
5-o-caffeoylquinic acid	"CCMSLIB00000078848"
5-o-caffeoylquinic acid	"CCMSLIB00000078885"
ursodeoxycholic acid	"CCMSLIB00000084832"
taxifolin	"CCMSLIB00000078866"
taxifolin	"CCMSLIB00000078894"
sorbitol	"CCMSLIB00000081793"
icariin	"CCMSLIB00000078936"
rosmarinic acid	"CCMSLIB00000078853"
rosmarinic acid	"CCMSLIB00000078888"
gallocatechin	"CCMSLIB00000081481"
gallocatechin	"CCMSLIB00000081482"
(-)-epicatechin	"CCMSLIB00000215912"
(-)-epicatechin	"CCMSLIB00000215912"
(-)-epicatechin	"CCMSLIB00000215914"
(-)-epicatechin	"CCMSLIB00000215914"
(-)-epicatechin	"CCMSLIB00000215916"
(-)-epicatechin	"CCMSLIB00000215916"
(-)-epicatechin	"CCMSLIB00000215918"
(-)-epicatechin	"CCMSLIB00000215918"
(-)-epicatechin	"CCMSLIB00000222542"
(-)-epicatechin	"CCMSLIB00000222542"
(-)-epicatechin	"CCMSLIB00000222544"
(-)-epicatechin	"CCMSLIB00000222544"
(-)-epicatechin	"CCMSLIB00000222546"
(-)-epicatechin	"CCMSLIB00000222546"
(-)-epicatechin	"CCMSLIB00000223091"
(-)-epicatechin	"CCMSLIB00000223091"
(-)-epicatechin	"CCMSLIB00000221217"
(-)-epicatechin	"CCMSLIB00000221217"
(-)-epicatechin	"CCMSLIB00000222139"
(-)-epicatechin	"CCMSLIB00000222139"
(-)-noradrenaline	"CCMSLIB00000212365"
(-)-noradrenaline	"CCMSLIB00000212367"
(-)-noradrenaline	"CCMSLIB00000212369"
(+)-catechin	"CCMSLIB00000223089"
(+)-catechin	"CCMSLIB00000223089"
(+)-epicatechin	"CCMSLIB00000223090"
(+)-epicatechin	"CCMSLIB00000215899"
(+)-epicatechin	"CCMSLIB00000215901"
(+)-epicatechin	"CCMSLIB00000215903"
(+)-epicatechin	"CCMSLIB00000215905"
(+)-epicatechin	"CCMSLIB00000215906"
(+)-epicatechin	"CCMSLIB00000215908"
(+)-epicatechin	"CCMSLIB00000215910"
(+)-epicatechin	"CCMSLIB00000221215"
(+)-epicatechin	"CCMSLIB00000222137"
"1,16-hexadecanediol"	"CCMSLIB00000217262"
"1,16-hexadecanediol"	"CCMSLIB00000217264"
"1,16-hexadecanediol"	"CCMSLIB00000217266"
"1,16-hexadecanediol"	"CCMSLIB00000217268"
"1,16-hexadecanediol"	"CCMSLIB00000217270"
"1,16-hexadecanediol"	"CCMSLIB00000217272"
"1,2-benzenediol"	"CCMSLIB00000215078"
"1,2-benzenediol"	"CCMSLIB00000215080"
"1,2-benzenediol"	"CCMSLIB00000222034"
"1,2-benzenediol"	"CCMSLIB00000222036"
11-deoxojervine	"CCMSLIB00000205446"
"15,16-dihydrotanshinone i"	"CCMSLIB00000212255"
17-hydroxycryptotanshinone	"CCMSLIB00000212249"
17-hydroxytanshindiol b	"CCMSLIB00000212223"
1-hydroxyanthraquinone	"CCMSLIB00000579152"
1-hydroxyanthraquinone	"CCMSLIB00000579153"
1-hydroxyanthraquinone	"CCMSLIB00000579154"
1-hydroxyanthraquinone	"CCMSLIB00000579155"
1-kestose	"CCMSLIB00000220656"
1-kestose	"CCMSLIB00000220658"
1-kestose	"CCMSLIB00000220660"
1-ketoisocyptotanshinone	"CCMSLIB00000212245"
"2,5-dihydroxy benzoic acid"	"CCMSLIB00000223207"
"2,5-dihydroxy benzoic acid"	"CCMSLIB00000219029"
"2,5-dihydroxy benzoic acid"	"CCMSLIB00000219031"
"2,5-dihydroxy benzoic acid"	"CCMSLIB00000219033"
"2,5-dihydroxy benzoic acid"	"CCMSLIB00000219035"
"2,5-dihydroxy benzoic acid"	"CCMSLIB00000221503"
"2,5-dihydroxy benzoic acid"	"CCMSLIB00000222496"
2-acetamido-2-deoxy-d-glucose	"CCMSLIB00000221054"
2'-deoxythymidine	"CCMSLIB00000214703"
2'-deoxythymidine	"CCMSLIB00000214705"
2'-deoxythymidine	"CCMSLIB00000214707"
2'-deoxythymidine	"CCMSLIB00000214709"
2'-deoxythymidine	"CCMSLIB00000214711"
2'-deoxythymidine	"CCMSLIB00000214713"
2'-deoxythymidine	"CCMSLIB00000214715"
2-hydroxyanthraquinone	"CCMSLIB00000579149"
2-hydroxyanthraquinone	"CCMSLIB00000579150"
2-hydroxyanthraquinone	"CCMSLIB00000579151"
2-hydroxybenzoic acid	"CCMSLIB00000219051"
2-hydroxybenzoic acid	"CCMSLIB00000219053"
2-hydroxybenzoic acid	"CCMSLIB00000219055"
2-methoxycinnamic acid	"CCMSLIB00000222813"
2-methoxycinnamic acid	"CCMSLIB00000222814"
2-methoxycinnamic acid	"CCMSLIB00000222815"
2-methoxycinnamic acid	"CCMSLIB00000217349"
2-methoxycinnamic acid	"CCMSLIB00000217351"
2-methoxycinnamic acid	"CCMSLIB00000217353"
"2-methyl-1,4-naphthoquinone"	"CCMSLIB00000220625"
"3,3',4',5,5',7-hexahydroxyflavone"	"CCMSLIB00000222695"
"3,3',4',5,5',7-hexahydroxyflavone"	"CCMSLIB00000222697"
"3,3',4',5,5',7-hexahydroxyflavone"	"CCMSLIB00000215184"
"3,3',4',5,5',7-hexahydroxyflavone"	"CCMSLIB00000215186"
"3,3',4',5,5',7-hexahydroxyflavone"	"CCMSLIB00000215188"
"3,3',4',5,5',7-hexahydroxyflavone"	"CCMSLIB00000215190"
"3,3',4',5,5',7-hexahydroxyflavone"	"CCMSLIB00000215192"
"3,3',4',5,5',7-hexahydroxyflavone"	"CCMSLIB00000215194"
"3,3',4',5,5',7-hexahydroxyflavone"	"CCMSLIB00000215195"
"3,3',4',5,5',7-hexahydroxyflavone"	"CCMSLIB00000215197"
"3,4-dihydroxybenzoic acid"	"CCMSLIB00000214545"
"3,4-dihydroxybenzoic acid"	"CCMSLIB00000221967"
"3,4-phenanthrenedione"	"CCMSLIB00000212239"
"3,7,11,15-tetramethyl-2-hexadecen-1-ol"	"CCMSLIB00000220809"
3-hydroxycyptotanshinone	"CCMSLIB00000212229"
3-hydroxy-glabrol	"CCMSLIB00000212304"
3-hydroxykynurenine	"CCMSLIB00000218752"
3-hydroxykynurenine	"CCMSLIB00000218754"
3-hydroxykynurenine	"CCMSLIB00000218755"
3-hydroxykynurenine	"CCMSLIB00000218757"
3-hydroxykynurenine	"CCMSLIB00000218760"
3-hydroxykynurenine	"CCMSLIB00000221221"
3-hydroxymethylenetanshinquinone	"CCMSLIB00000212241"
3-hydroxytanshinone iib	"CCMSLIB00000212227"
3-methylquercetin	"CCMSLIB00000223054"
3-methylquercetin	"CCMSLIB00000215133"
3-methylquercetin	"CCMSLIB00000215135"
3-methylquercetin	"CCMSLIB00000215137"
3-methylquercetin	"CCMSLIB00000215139"
3-methylquercetin	"CCMSLIB00000221144"
3-methylquercetin	"CCMSLIB00000222044"
3'-o-acetylhamaudol	"CCMSLIB00000211340"
3-phenyl-2-propen-1-ol	"CCMSLIB00000212337"
3-phenyl-2-propen-1-ol	"CCMSLIB00000215828"
4-coumaric acid	"CCMSLIB00000223088"
4-coumaric acid	"CCMSLIB00000215830"
4-coumaric acid	"CCMSLIB00000215832"
4-coumaric acid	"CCMSLIB00000215834"
4-coumaric acid	"CCMSLIB00000215836"
4-coumaric acid	"CCMSLIB00000215838"
4-coumaric acid	"CCMSLIB00000215839"
4-coumaric acid	"CCMSLIB00000221211"
4-coumaric acid	"CCMSLIB00000222131"
4-hydroxy-3-methoxybenzaldehyde	"CCMSLIB00000217219"
4-hydroxy-3-methoxybenzaldehyde	"CCMSLIB00000217221"
4-hydroxy-3-methoxybenzaldehyde	"CCMSLIB00000217223"
4-hydroxybenzoic acid	"CCMSLIB00000223016"
4-hydroxybenzoic acid	"CCMSLIB00000223241"
4-hydroxybenzoic acid	"CCMSLIB00000219485"
4-hydroxybenzoic acid	"CCMSLIB00000219487"
4-hydroxybenzoic acid	"CCMSLIB00000221570"
4-hydroxybenzoylcholine	"CCMSLIB00000221592"
4-hydroxybenzoylcholine	"CCMSLIB00000221594"
4-hydroxybenzoylcholine	"CCMSLIB00000221596"
4-hydroxybenzoylcholine	"CCMSLIB00000221597"
4-hydroxyphenylacetic acid	"CCMSLIB00000212441"
4-hydroxyphenylacetic acid	"CCMSLIB00000212443"
4-methylpyrazole	"CCMSLIB00000219594"
4-methylpyrazole	"CCMSLIB00000219596"
4-methylpyrazole	"CCMSLIB00000219598"
4-methylpyrazole	"CCMSLIB00000219600"
4-methylpyrazole	"CCMSLIB00000219602"
5'-adenosine monophosphate	"CCMSLIB00000216211"
5'-adenosine monophosphate	"CCMSLIB00000216512"
5'-adenosine monophosphate	"CCMSLIB00000216514"
5'-adenosine monophosphate	"CCMSLIB00000216515"
5-methyluracil	"CCMSLIB00000223034"
5-methyluracil	"CCMSLIB00000223035"
5-methyluracil	"CCMSLIB00000214780"
5-methyluracil	"CCMSLIB00000214782"
5-methyluracil	"CCMSLIB00000214784"
5-methyluracil	"CCMSLIB00000221102"
5-methyluracil	"CCMSLIB00000221104"
5-methyluracil	"CCMSLIB00000221989"
"6,7-dihydroxycoumarin"	"CCMSLIB00000223294"
"6,7-dihydroxycoumarin"	"CCMSLIB00000220585"
"6,7-dihydroxycoumarin"	"CCMSLIB00000220587"
"6,7-dihydroxycoumarin"	"CCMSLIB00000220589"
"6,7-dihydroxycoumarin"	"CCMSLIB00000220591"
"6,7-dihydroxycoumarin"	"CCMSLIB00000220593"
"6,7-dihydroxycoumarin"	"CCMSLIB00000220595"
"6,7-dihydroxycoumarin"	"CCMSLIB00000221720"
"6,7-dihydroxycoumarin"	"CCMSLIB00000222754"
"6,7-dihydroxycoumarin"	"CCMSLIB00000222756"
6-aminopurine	"CCMSLIB00000222851"
6-aminopurine	"CCMSLIB00000222852"
6-aminopurine	"CCMSLIB00000212481"
6-aminopurine	"CCMSLIB00000212483"
6-aminopurine	"CCMSLIB00000212485"
6-aminopurine	"CCMSLIB00000212487"
6-aminopurine	"CCMSLIB00000212489"
6-aminopurine	"CCMSLIB00000212491"
6-aminopurine	"CCMSLIB00000220740"
6-aminopurine	"CCMSLIB00000220742"
6-aminopurine	"CCMSLIB00000221753"
6-aminopurine	"CCMSLIB00000221755"
6-methoxy-7-hydroxycoumarin	"CCMSLIB00000223292"
6-methoxy-7-hydroxycoumarin	"CCMSLIB00000220564"
6-methoxy-7-hydroxycoumarin	"CCMSLIB00000220566"
6-methoxy-7-hydroxycoumarin	"CCMSLIB00000220568"
6-methoxy-7-hydroxycoumarin	"CCMSLIB00000220570"
6-methoxy-7-hydroxycoumarin	"CCMSLIB00000220572"
6-methoxy-7-hydroxycoumarin	"CCMSLIB00000221716"
6-methoxy-7-hydroxycoumarin	"CCMSLIB00000222749"
8-geranyloxy psoralen	"CCMSLIB00000205271"
8-geranyloxy psoralen	"CCMSLIB00000205284"
abscisic acid	"CCMSLIB00000216416"
abscisic acid	"CCMSLIB00000216418"
abscisic acid	"CCMSLIB00000216420"
abscisic acid	"CCMSLIB00000216422"
acacetin	"CCMSLIB00000217804"
acacetin	"CCMSLIB00000217806"
acacetin	"CCMSLIB00000217808"
acacetin	"CCMSLIB00000217810"
acacetin	"CCMSLIB00000217811"
acacetin	"CCMSLIB00000217813"
acacetin	"CCMSLIB00000217815"
acaciin	"CCMSLIB00000223180"
acaciin	"CCMSLIB00000217990"
acaciin	"CCMSLIB00000217993"
acaciin	"CCMSLIB00000217995"
acaciin	"CCMSLIB00000217997"
acaciin	"CCMSLIB00000217999"
acaciin	"CCMSLIB00000218001"
acaciin	"CCMSLIB00000218003"
acaciin	"CCMSLIB00000218005"
acaciin	"CCMSLIB00000218007"
acaciin	"CCMSLIB00000218009"
acaciin	"CCMSLIB00000218011"
acaciin	"CCMSLIB00000221408"
acaciin	"CCMSLIB00000222380"
acetylcholine	"CCMSLIB00000216844"
acetylcholine	"CCMSLIB00000216846"
acetylcholine	"CCMSLIB00000216848"
acetylcholine	"CCMSLIB00000216851"
acetylcholine	"CCMSLIB00000216853"
acetylcholine	"CCMSLIB00000221624"
acetylcholine	"CCMSLIB00000222928"
acetylcholine	"CCMSLIB00000222929"
acrylic acid	"CCMSLIB00000212709"
adenine	"CCMSLIB00000216508"
adenine	"CCMSLIB00000216510"
adenine	"CCMSLIB00000222851"
adenine	"CCMSLIB00000222852"
adenine	"CCMSLIB00000212481"
adenine	"CCMSLIB00000212483"
adenine	"CCMSLIB00000212485"
adenine	"CCMSLIB00000212487"
adenine	"CCMSLIB00000212489"
adenine	"CCMSLIB00000212491"
adenine	"CCMSLIB00000220740"
adenine	"CCMSLIB00000220742"
adenine	"CCMSLIB00000221753"
